Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.064432807,-0.70316727,-0.236916089,0.102314807
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
0.997671766,-0.015416237,0.155004654,0.980175943,0.354122778,-0.284795458,-0.214304851,0.213460202,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.116046977,-0.747023532,-0.413970592,0.028381826
