Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
0.512407742,-0.497412033,-0.460501701,0.369358479,0.287397651,-0.631738917,-0.679522946,0.258876321,0.576646447,-0.733056266,-0.431224278,0.374151643,0.201196017,-0.479701817,-0.54805864,0.246432814,-0.444544372,-0.984013503,-0.904218635,-0.337303283,831.2454212,841.3186813,845.7509158,833.6630037,823.992674
0.568318936,-0.35525441,-0.18866911,0.266135389,0.253003856,-0.75449783,-0.575394016,0.222844986,0.553528378,-0.324079227,-0.42376501,0.471340016,0.220725889,-0.44049658,-0.502176103,0.232477298,-0.454271619,-0.948580204,-0.835091624,-0.355811087,827.2161172,843.3333333,850.989011,844.1391941,873.5531136
0.525727874,-0.190923665,-0.153766183,0.248398551,0.173135786,-0.543833128,-0.54537611,0.011295819,0.578555083,-0.188041565,-0.473524857,0.744302326,0.215068099,-0.46039321,-0.407219387,0.40309458,-0.410152258,-0.928169942,-0.839629057,-0.274464161,833.2600733,846.1538462,844.9450549,845.7509158,839.7069597
0.512313182,-0.12870107,-0.00229356,0.143265861,0.067909201,-0.571251476,-0.626263163,-0.059242111,0.548118209,-0.15076701,-0.404216331,0.785772859,0.072548621,-0.467381997,-0.415849903,0.329499573,-0.428452035,-0.894912895,-0.842930696,-0.214198604,840.5128205,845.7509158,846.1538462,842.1245421,830.4395604
0.456940277,-0.170841781,-0.099699225,0.11617644,0.114716318,-0.598211095,-0.645478857,-0.085256646,0.58278997,-0.138955185,-0.339876268,0.856716083,0.064904584,-0.396237795,-0.334145305,0.42707889,-0.359152252,-0.844934042,-0.910635978,-0.21074405,833.2600733,843.7362637,843.7362637,830.4395604,844.5421245
0.349524594,-0.204780239,-0.129474886,-0.079549394,0.101748757,-0.727886881,-0.710799781,-0.098502399,0.60618623,-0.285972944,-0.34385655,0.84459682,0.05230736,-0.394822191,-0.352862412,0.432736643,-0.390027286,-0.883168958,-0.935755978,-0.260990729,827.6190476,845.3479853,841.7216117,836.0805861,840.9157509
0.188991929,-0.417172995,-0.315556148,-0.184108382,0.028228158,-0.671766555,-0.536171989,-0.026846187,0.555624566,-0.291594731,-0.369180724,0.902913603,0.177571113,-0.451215186,-0.399186917,0.390590058,-0.407227068,-0.789298573,-0.872897207,-0.249786514,834.0659341,843.3333333,845.3479853,843.3333333,853.8095238
0.110751314,-0.362895424,-0.311033415,-0.197517771,0.046821856,-0.531607811,-0.544549163,-0.095553463,0.595335657,-0.414975553,-0.395097467,0.733990826,0.221384927,-0.540162587,-0.529614634,0.299655149,-0.518620839,-0.842545131,-0.954787644,-0.223995371,840.1098901,845.7509158,843.7362637,838.0952381,858.6446886
0.143857484,-0.349249822,-0.428602123,-0.193943442,0.093216916,-0.568094107,-0.519087626,-0.027388982,0.609142293,-0.413738506,-0.583961533,0.709664523,0.245598601,-0.581549959,-0.628423944,0.088817327,-0.540214578,-0.8610155,-1.024852412,-0.227330993,830.8424908,844.9450549,844.9450549,834.4688645,851.7948718
0.20725708,-0.365744252,-0.465815811,-0.499319674,0.049675274,-0.428999481,-0.542482089,-0.167203872,0.567885802,-0.320750078,-0.588004016,0.619592825,0.157763164,-0.572007552,-0.600601127,0.026213465,-0.563201541,-1.084465633,-1.111077627,-0.274449479,837.2893773,848.974359,847.7655678,842.5274725,882.8205128
0.158542198,-0.511465566,-0.573360264,-0.220723063,-0.018749903,-0.452111411,-0.599883796,-0.127501004,0.503388025,-0.314462544,-0.585968087,0.329426786,0.073044702,-0.634167911,-0.590543811,-0.007430233,-0.61609685,-1.138436846,-1.012897758,-0.339735671,837.2893773,842.9304029,841.7216117,837.2893773,835.6776557
0.232735506,-0.787395967,-0.619607085,0.086669295,0.033695897,-0.292738193,-0.609263489,-0.140170708,0.299002443,-0.311796973,-0.596474321,0.242127879,-0.01000183,-0.599297611,-0.495156602,0.083507387,-0.616780327,-1.164796859,-0.940096158,-0.392860916,832.4542125,840.9157509,840.1098901,825.6043956,880.4029304
0.225229385,-0.567191223,-0.700825172,0.110883921,0.169102306,-0.292897517,-0.660665933,-0.14636258,0.444971644,-0.307323532,-0.592833872,0.286276392,-0.036611591,-0.579632419,-0.519732677,0.138502414,-0.642522559,-1.095155767,-0.915689651,-0.532448976,844.9450549,846.959707,844.5421245,848.5714286,840.5128205
