TimeStamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
26:29.3,761.9413919,834.8717949,891.6849817,779.6703297,796.996337,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.2,762.3443223,852.6007326,874.7619048,761.1355311,795.3846154,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.2,762.7472527,857.032967,873.5531136,768.7912088,776.4468864,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.5,762.7472527,841.7216117,861.4652015,761.9413919,770.4029304,-0.017273,0.198914,0.991577,-1.188812,3.947754,3.9328,1,1,1,1,1,58.046875,
26:27.9,763.1501832,873.5531136,853.003663,759.1208791,816.7399267,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:29.3,763.956044,835.2747253,896.5201465,774.029304,852.1978022,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.2,764.3589744,858.6446886,913.4432234,776.043956,891.6849817,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.5,764.3589744,843.3333333,870.7326007,765.5677656,829.6336996,-0.017273,0.198914,0.991577,-1.188812,3.947754,3.9328,1,1,1,1,1,58.046875,
26:29.3,764.7619048,854.2124542,885.6410256,776.043956,855.4212454,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.4,765.1648352,867.9120879,879.1941392,762.3443223,796.5934066,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.9,765.5677656,880,887.6556777,761.1355311,909.8168498,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.9,767.1794872,849.7802198,830.03663,755.8974359,765.1648352,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.9,767.5824176,873.956044,886.8498168,771.2087912,853.8095238,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.4,767.985348,860.6593407,903.3699634,769.1941392,897.3260073,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,769.1941392,869.1208791,850.5860806,766.3736264,765.1648352,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:29.3,769.5970696,846.1538462,886.043956,785.3113553,875.1648352,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.9,770,880.4029304,897.3260073,769.1941392,893.6996337,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.2,770.8058608,844.9450549,925.9340659,779.6703297,917.8754579,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.9,773.2234432,862.2710623,828.8278388,764.3589744,835.2747253,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.2,773.6263736,846.5567766,915.4578755,780.8791209,910.6227106,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.9,774.029304,872.7472527,878.7912088,775.6410256,921.5018315,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:28.6,775.6410256,851.7948718,813.5164835,775.6410256,773.2234432,-0.016724,0.196655,0.990295,-1.158905,3.783264,3.401947,1,1,1,1,1,58.046875,
26:27.7,776.4468864,840.9157509,855.4212454,774.029304,752.6739927,-0.020996,0.190979,0.982239,-1.659851,2.863617,3.775787,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.4,777.2527473,863.0769231,868.3150183,781.2820513,845.3479853,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
