Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z
0.045874755,-0.29884333,-0.572408969,0.129189689,0.112856572,-0.597751318,-0.557721586,-0.04496868,0.785540688,-0.387086354,-0.060673415,0.987927642,0.321357349,-0.32343628,-0.245390701,0.448511524,-0.467051303,-1.017637872,-0.957719648,-0.057856498,844.9450549,844.9450549,848.974359,845.3479853,852.1978022,-0.190125,0.138733,0.962036,-1.697235,2.975769,3.678589
0.108126247,-0.258733414,-0.513515719,0.212651656,0.138669065,-0.518215349,-0.616443432,-0.008911383,0.783541926,-0.396911464,0.021305806,0.882152468,0.253542943,-0.296262771,-0.332377654,0.405307522,-0.428775414,-0.952182045,-0.944802584,-0.037692236,847.7655678,843.7362637,839.7069597,830.4395604,819.1575092,-0.186401,0.140198,0.964111,-1.525269,2.631836,3.925323
-0.015614621,-0.143867989,-0.512973655,0.217675712,0.047471383,-0.360359029,-0.540950365,0.13123048,0.743299396,-0.199671491,0.069720904,0.944532585,0.303410775,-0.302804518,-0.440504612,0.392196111,-0.471222709,-1.023380303,-0.95602314,-0.094319797,845.7509158,841.3186813,845.7509158,844.1391941,840.5128205,-0.185669,0.138489,0.962769,-1.824341,2.415009,2.998199
-0.124480789,-0.146207505,-0.314759598,0.374253289,0.061941989,-0.297021115,-0.539571544,0.15950513,0.903859902,-0.075023565,0.096646629,0.966868046,0.360930928,-0.376350095,-0.51060754,0.319347187,-0.449868026,-1.024936368,-0.958367436,-0.133199368,841.3186813,846.959707,844.1391941,833.2600733,836.0805861,-0.192017,0.138184,0.960083,-1.502838,2.34024,3.409424
-0.259339164,-0.182827737,-0.284236726,0.244392124,0.084311629,-0.357365375,-0.329267846,0.205129784,0.911638162,-0.056612814,0.094545641,0.963434943,0.383864479,-0.390083233,-0.548443712,0.21922959,-0.482936889,-1.145652457,-0.932305218,-0.10464617,840.1098901,842.5274725,845.3479853,828.8278388,869.9267399,-0.192444,0.138855,0.956299,-1.981354,2.407532,3.813171
-0.078590698,-0.321973543,-0.267892612,0.15139289,0.071101616,-0.36160234,-0.383497372,0.153141863,0.923837174,-0.051323572,-0.00898578,0.888865291,0.274968566,-0.483303601,-0.518804115,0.168140383,-0.446683716,-1.090507378,-0.869817846,-0.128521614,841.3186813,846.5567766,841.3186813,838.9010989,815.1282051,-0.189453,0.139587,0.962769,-1.128998,2.960815,3.970184
0.414407597,-0.304162671,-0.485705141,0.042681362,0.161648132,-0.351858322,-0.354247971,0.148072944,0.9000732,-0.223256966,-0.242215797,0.866836977,0.194436378,-0.423805102,-0.562714811,0.244789372,-0.426879701,-1.063638667,-0.907950916,-0.121445738,848.5714286,848.974359,842.9304029,837.6923077,853.8095238,-0.187439,0.139465,0.960999,-1.734619,3.04306,3.379517
0.670192949,-0.247201257,-0.452233407,0.235620499,0.045222017,-0.33794433,-0.50193428,-0.002434156,0.896248292,-0.233730627,-0.192648247,0.848526913,0.107336638,-0.365678631,-0.545659016,0.297057071,-0.310688151,-1.012576629,-0.938499502,-0.10063601,845.7509158,844.9450549,846.1538462,849.3772894,860.2564103,-0.184204,0.137024,0.961182,-1.607513,2.616882,3.783264
0.68220629,-0.205354692,-0.432343367,0.279442848,-0.062697009,-0.461359832,-0.388616929,-0.051437906,0.827716459,-0.20357018,-0.253265489,0.794500281,0.046822923,-0.361653643,-0.618600995,0.275880194,-0.333561764,-1.06346312,-1.029698746,-0.152740466,839.7069597,843.3333333,843.7362637,829.6336996,834.0659341,-0.182312,0.140076,0.963013,-1.9664,2.609406,3.289795
0.590938723,-0.333082216,-0.391918813,0.293237751,-0.182642163,-0.627449213,-0.349192807,-0.070235509,0.740551964,-0.224735169,-0.220184083,0.698047477,-0.041766474,-0.436765657,-0.604511414,0.205306303,-0.355783621,-1.110686333,-0.987900539,-0.183343233,830.8424908,843.3333333,839.3040293,824.3956044,829.6336996,-0.185242,0.138245,0.961609,-1.914062,2.31781,3.349609
