Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.092449665,0.094409011,1.175175734,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.191887234,-0.531967096,-0.58431028,0.385583831
0.503201427,0.161301266,-0.009756185,0.287493097,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.191887234,-0.531967096,-0.58431028,0.385583831
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.191887234,-0.531967096,-0.58431028,0.385583831
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
